Date,Trade Volume,Transaction,Trade Value,Opening Price,Highest Price,Lowest Price,Closing Price,Change,AvgPrice
20040211,5264000,686,254721750,48.5,48.5,48.26,48.37,-0.17,48.3893902
20040212,8114000,849,396693580,48.5,49.26,48.4,48.59,0.22,48.89001479
20040213,6138000,664,301275790,48.61,49.47,48.6,49.46,0.87,49.08370642
20040216,4154000,436,204417200,49.46,49.46,49.04,49.2,-0.26,49.20972557
20040217,4645000,336,228974460,49.21,49.5,49.16,49.5,0.3,49.29482454
20040218,4018000,450,198896410,49.55,49.7,49.32,49.53,0.03,49.50134644
20040219,6123000,544,305214950,49.57,50.1,49.57,50,0.47,49.84728891
20040220,1270000,345,63411080,50,50.05,49.7,50,0,49.92998425
20040223,2001000,264,99310800,49.95,50,49.5,49.56,-0.44,49.63058471
20040224,3957000,296,195271180,49.2,49.62,49.16,49.45,-0.11,49.34828911
20040225,3115000,356,154273720,49.4,49.62,49.36,49.6,0.15,49.52607384
20040226,6234000,387,311464670,49.75,50.05,49.7,49.8,0.2,49.96225056
20040227,9139000,478,460315100,50,50.6,50,50.55,0.75,50.36821315
20040301,7495000,528,386117500,50.8,52,50.8,51.95,1.4,51.51667779
20040302,13953000,706,733167500,52.1,52.9,52.1,52.8,0.85,52.54550993
20040303,19671000,729,1037574000,52.8,52.95,52.5,52.7,-0.1,52.74637792
20040304,16061000,681,852025900,53,53.15,52.55,53.15,0.45,53.04936803
20040305,22078000,809,1176644200,53.5,53.7,52.5,52.5,-0.65,53.29487272
20040308,3510000,475,183267550,52.6,52.9,51.75,51.85,-0.65,52.21297721
20040309,6131000,444,317388050,51.6,52,51.45,52,0.15,51.76774588
20040310,10911000,635,562806350,51.95,52.1,51.2,51.35,-0.65,51.58155531
20040311,19280000,681,984190450,50.95,51.45,50.75,51.4,0.05,51.04722251
20040312,17917000,1205,905092700,50.8,50.8,50.3,50.45,-0.95,50.51586203
20040315,15682000,801,784692260,51,51,49.65,49.65,-0.8,50.03776687
20040316,18336000,1265,899020560,49.32,49.38,48.8,49,-0.65,49.0303534
20040317,4684000,587,231030210,49.7,49.7,49,49.08,0.08,49.32327284
20040318,9242000,949,462175580,49.7,50.8,49.5,50.7,1.62,50.00817788
20040319,6632000,800,336354500,50.7,51.1,50.4,51,0.3,50.7169029
20040322,4226000,519,200439180,47.43,47.43,47.43,47.43,-3.57,47.43
20040323,25916000,2514,1181326220,44.5,47.17,44.5,46.4,-1.03,45.58289165
20040324,10120000,1525,474360000,47.3,47.3,46.45,46.95,0.55,46.87351779
20040325,5991000,811,281683230,46.95,47.25,46.75,46.8,-0.15,47.0177316
20040326,7696000,740,361198110,47.24,47.3,46.7,46.79,-0.01,46.93322635
20040329,4404000,952,214912170,48.7,49.1,48.28,49.1,2.31,48.79931199
20040330,8016000,942,395164550,49.1,49.54,48.8,49.3,0.2,49.2969748
20040331,8563000,697,421970140,49.5,49.5,48.98,48.99,-0.31,49.27830667
20040401,4722000,622,230197700,49.3,49.3,48.4,48.7,-0.29,48.75004235
20040402,1968000,307,96493740,49,49.2,48.9,48.91,0.21,49.03137195
20040405,5805000,668,288708240,49.5,50.5,49.19,50,1.09,49.73440827
20040406,3052000,441,153128790,50.2,50.45,49.9,49.92,-0.08,50.17326016
20040407,797000,204,39784360,49.93,49.98,49.8,49.87,-0.05,49.91764115
20040408,3677000,275,183962470,49.9,50.1,49.9,50.1,0.23,50.03058744
20040409,1493000,314,74283700,49.9,49.9,49.6,49.8,-0.3,49.75465506
20040412,8506000,725,431238900,50.05,51.05,50.05,50.95,1.15,50.69820127
20040413,4769000,358,242874600,50.95,51.1,50.7,50.85,-0.1,50.9277836
20040414,7859000,463,400888050,50.35,51.4,50.35,51.4,0.55,51.01005853
20040415,13174000,600,673202600,51.4,51.6,50.35,50.4,-1,51.10085016
20040416,12879000,517,655913850,50.4,51.35,50.35,51.15,0.75,50.92894246
20040419,5415000,347,276703050,51.2,51.3,50.85,50.9,-0.25,51.09936288
20040420,8261000,609,422935700,51.5,51.5,50.9,50.9,0,51.19667111
20040421,5493000,244,281252450,50.8,51.35,50.8,51.25,0.35,51.20197524
20040422,11949000,723,617793600,51.4,52.2,50.3,50.5,-0.75,51.70253578
20040423,6594000,376,335720450,50.7,51.15,50.7,50.8,0.3,50.91301941
20040426,2449000,224,124846600,50.8,51.15,50.8,50.9,0.1,50.97860351
20040427,2429000,445,122460350,50.9,50.9,50.1,50.4,-0.5,50.41595307
20040428,3648000,451,182577450,50.4,50.55,49.8,49.95,-0.45,50.04864309
20040429,6398000,1129,312929040,49.58,49.7,48.38,48.69,-1.26,48.91044701
20040430,31243000,2285,1466449980,48.35,48.5,45.8,47.5,-1.19,46.93691323
20040503,13192000,1386,611433900,47.1,47.1,45.9,45.95,-1.55,46.34884021
20040504,5530000,972,257352020,46.3,47,46.06,47,1.05,46.5374358
20040505,7810000,1399,356041070,47.1,47.1,44.7,44.7,-2.3,45.58784507
20040506,6536000,893,295386370,45.5,45.7,44.65,45.3,0.6,45.19375306
20040507,5232000,557,238236140,45,45.9,45,45.75,0.45,45.53443043
20040510,6852000,859,306414880,45.15,45.15,44.4,44.6,-1.15,44.71904262
20040511,6260000,939,277099650,44.6,45.1,43.7,44.72,0.12,44.26511981
20040512,2610000,687,118837360,45.37,45.75,45.2,45.5,0.78,45.53155556
20040513,2392000,435,107800100,45.3,45.35,44.8,45,-0.5,45.06693144
20040514,3577000,687,159089360,45.3,45.42,44.1,44.1,-0.9,44.4756388
20040517,17932000,2083,748123560,43.51,43.51,41.02,41.02,-3.08,41.720029
20040518,8184000,1342,342546610,41.1,42.55,41.1,41.7,0.68,41.85564638
20040519,10694000,1340,472299050,43.4,44.61,42.7,44.61,2.91,44.16486347
20040520,13113000,1649,584407650,44.2,45.35,43.85,44.5,-0.11,44.56704415
20040521,6032000,1164,272521560,44.5,45.59,44.11,45.21,0.71,45.17930371
20040524,3770000,757,170318430,45,45.69,44.5,45.12,-0.09,45.17730239
20040525,4675000,745,211346530,45,45.6,44.65,44.95,-0.17,45.2078139
20040526,6749000,867,310936460,46.49,46.49,45.77,45.95,1,46.07148615
20040527,3842614,787,311718747,81.2,81.25,80.85,81.2,0.1,81.12153524
20040528,1952000,499,90180870,46.15,46.3,46.1,46.3,0.35,46.19921619
20040531,3244000,620,148147100,46.3,46.31,45.3,45.35,-0.95,45.66803329
20040601,2645000,503,119301250,45.2,45.35,44.81,45.2,-0.15,45.10444234
20040602,2939000,501,131507430,44.8,44.9,44.62,44.69,-0.51,44.74563797
20040603,8926000,1078,393631490,44.8,45.15,43.6,43.64,-1.05,44.09942752
20040604,6959000,922,301615120,43.5,43.64,42.8,43.02,-0.62,43.34173301
20040607,3170000,786,141581450,44,45.25,44,45.2,2.18,44.66291798
20040608,3440000,660,156593790,45.9,46,45.2,45.6,0.4,45.52145058
20040609,1643000,289,74725020,45.6,45.6,45.31,45.39,-0.21,45.48083993
20040610,6412000,602,286189960,45.1,45.15,44.4,44.95,-0.44,44.63349345
20040611,9946000,1010,434775060,44.5,44.5,43.4,43.44,-1.51,43.71355922
20040614,7725000,1042,331468910,43.44,43.82,42.1,42.2,-1.24,42.90859676
20040615,6911000,1036,291573490,42.2,43,41.81,43,0.8,42.18976849
20040616,4653000,804,198565440,43.5,43.5,42.1,42.35,-0.65,42.67471309
20040617,5538000,997,238923480,42.35,43.8,42.35,43.29,0.94,43.14255688
20040618,6298000,891,268604370,43.29,43.29,42.47,42.6,-0.69,42.6491537
20040621,2726000,742,117028940,43.7,43.7,42.52,42.52,-0.08,42.93064563
20040623,4548000,1143,199178600,42.91,44.3,42.91,43.9,1.38,43.79476693
